resource_id,title,board,subject,target_grade,difficulty_level,format,duration_minutes,url
res_7d681165,Class 7 Acid Base and Salts OneShot Full Chapter in 20 Minutes!! - LearnFatafat,CBSE,Chemistry,Class 7,Medium,video,39,https://www.youtube.com/watch?v=190pWYsVpFI&pp=ygUvQ0JTRSBDbGFzcyA3IENoZW1pc3RyeSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb27SBwkJvgoBhyohjO8%3D
res_dbfb2dba,Physical and Chemical Changes Full Chapter Class 7 Science | NCERT Science Class 7 Chapter 6,CBSE,Chemistry,Class 7,Advanced,video,38,https://www.youtube.com/watch?v=tCSgVnCKXTI&pp=ygUvQ0JTRSBDbGFzcyA3IENoZW1pc3RyeSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb24%3D
res_21808d0e,"Acids, Bases and Salts || Full Chapter in 1 Video || Class 7th Science || Junoon Batch",CBSE,Chemistry,Class 7,Advanced,video,33,https://www.youtube.com/watch?v=-AFIrJNk0Wo&pp=ygUvQ0JTRSBDbGFzcyA3IENoZW1pc3RyeSBmdWxsIGNoYXB0ZXIgZXhwbGFuYXRpb27SBwkJvgoBhyohjO8%3D
res_88cadf46,CBSE Class 7 Science Notes Chapter 6 PDF,CBSE,Chemistry,Class 7,Medium,text,16,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/0c37f9bd-387e-4499-829d-df1cfc1b1409.pdf
res_38758295,chemistry-grade-7.pdf,CBSE,Chemistry,Class 7,Beginner,text,11,https://aacaebc.wordpress.com/wp-content/uploads/2020/03/chemistry-grade-7.pdf
res_0ee9f58e,7th Nutrition in plants Full Chapter | class 7 science |CBSE 7th science |NCERT class 7 Gradebooster,CBSE,Biology,Class 7,Beginner,video,35,https://www.youtube.com/watch?v=Dle6GPcFQto&pp=ygUtQ0JTRSBDbGFzcyA3IEJpb2xvZ3kgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_c67aec94,Life Processes in Animals | CBSE Class 7 Science (Biology) | Full Chapter Explained | CBSE 2026,CBSE,Biology,Class 7,Advanced,video,24,https://www.youtube.com/watch?v=bDlLzDg1MLY&pp=ygUtQ0JTRSBDbGFzcyA3IEJpb2xvZ3kgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_8b61d8d9,Nutrition in Plants  | Class 7 : SCIENCE | CBSE / NCERT | Full Chapter Explanation | Biology,CBSE,Biology,Class 7,Beginner,video,30,https://www.youtube.com/watch?v=xpNKJyXUXIA&pp=ygUtQ0JTRSBDbGFzcyA3IEJpb2xvZ3kgZnVsbCBjaGFwdGVyIGV4cGxhbmF0aW9u
res_165136eb,CBSE Class 7 Science Notes Chapter 2,CBSE,Biology,Class 7,Medium,text,18,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/1e102074-6be7-4bd1-a630-52fb80a1397e.pdf
res_8ac13683,CBSE Class 7 Science Notes Chapter 11: The PDF,CBSE,Biology,Class 7,Medium,text,13,https://static.pw.live/5eb393ee95fab7468a79d189/GLOBAL_CMS_BLOGS/76d85c09-c17a-4688-afd0-a1f10eb2eb33.pdf
